Module,Module_Color,Number_of_Genes,Correlation_with_Trait,P_Value,Bonferroni_P,BH_FDR_Q
MEsalmon,salmon,604,0.805996766988983,0.0157013737917451,0.2198192330844314,0.2198192330844314
MEyellowgreen,yellowgreen,66,0.641471976096,0.0864557072901547,1.0,0.340593726338356
MEdarkturquoise,darkturquoise,190,0.631693419129674,0.0929415643679074,1.0,0.340593726338356
MEskyblue,skyblue,200,-0.588857669172181,0.124576209345852,1.0,0.340593726338356
MEskyblue3,skyblue3,393,-0.557145546814787,0.151400916132133,1.0,0.340593726338356
MElightcyan,lightcyan,100,0.54692659753002,0.160662726493719,1.0,0.340593726338356
MEbrown4,brown4,202,-0.536631762845434,0.170296863169178,1.0,0.340593726338356
MEfloralwhite,floralwhite,827,0.422215793986546,0.297397309002829,1.0,0.5149714807082035
MEdarkorange2,darkorange2,172,-0.396314427603468,0.331053094740988,1.0,0.5149714807082035
MEbisque4,bisque4,846,0.316832086689028,0.444498133290357,1.0,0.6222973866064998
MEgreenyellow,greenyellow,128,-0.278287241125247,0.50452505610743,1.0,0.6421227986821837
MEroyalblue,royalblue,1137,-0.228365976935489,0.586467781295038,1.0,0.6842124115108775
MEsienna3,sienna3,67,0.11554564183237,0.785272481103308,1.0,0.842623083073346
MEcyan,cyan,101,0.0843333616348769,0.842623083073346,1.0,0.842623083073346
